*******************************************************************************
Ephemeris / WWW_USER Sat Jul  7 18:13:45 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jun-01 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460311.541666667, A.D. 2024-Jan-02 01:00:00.0000, -3.954576996062686E+05,  6.973818162905019E+04,  5.123351771445937E+04, -1.989512216930137E-01, -8.366342835213636E-01, -4.407225832844979E-01,
2460311.583333333, A.D. 2024-Jan-02 02:00:00.0000, -3.961582443446507E+05,  6.672368439679577E+04,  4.964495357043142E+04, -1.902374667834983E-01, -8.380755613040256E-01, -4.418073297077456E-01,
2460311.625000000, A.D. 2024-Jan-02 03:00:00.0000, -3.968273892984600E+05,  6.370411569800727E+04,  4.805254618957709E+04, -1.815069880148977E-01, -8.394517471969470E-01, -4.428577019881055E-01,
2460311.666666667, A.D. 2024-Jan-02 04:00:00.0000, -3.974650752458043E+05,  6.067971005382267E+04,  4.645641945714153E+04, -1.727603321349560E-01, -8.407627357839379E-01, -4.438736234494606E-01,
2460311.708333333, A.D. 2024-Jan-02 05:00:00.0000, -3.980712449339728E+05,  5.765070236137234E+04,  4.485669753252647E+04, -1.639980463901714E-01, -8.420084235941286E-01, -4.448550184573385E-01,
2460311.750000000, A.D. 2024-Jan-02 06:00:00.0000, -3.986458430812819E+05,  5.461732788680092E+04,  4.325350484555518E+04, -1.552206785541764E-01, -8.431887090882829E-01, -4.458018124106568E-01,
2460311.791666667, A.D. 2024-Jan-02 07:00:00.0000, -3.991888163790257E+05,  5.157982225833670E+04,  4.164696609276652E+04, -1.464287769567392E-01, -8.443034926460082E-01, -4.467139317339300E-01,
2460311.833333333, A.D. 2024-Jan-02 08:00:00.0000, -3.997001134935307E+05,  4.853842145940534E+04,  4.003720623373606E+04, -1.376228905133685E-01, -8.453526765538809E-01, -4.475913038699408E-01,
2460311.875000000, A.D. 2024-Jan-02 09:00:00.0000, -4.001796850683187E+05,  4.549336182178489E+04,  3.842435048742282E+04, -1.288035687555036E-01, -8.463361649944942E-01, -4.484338572728875E-01,
2460311.916666667, A.D. 2024-Jan-02 10:00:00.0000, -4.006274837263796E+05,  4.244488001879845E+04,  3.680852432853982E+04, -1.199713618612730E-01, -8.472538640364429E-01, -4.492415214020114E-01,
2460311.958333333, A.D. 2024-Jan-02 11:00:00.0000, -4.010434640725552E+05,  3.939321305854103E+04,  3.518985348394660E+04, -1.111268206868045E-01, -8.481056816252580E-01, -4.500142267157132E-01,
2460312.000000000, A.D. 2024-Jan-02 12:00:00.0000, -4.014275826960377E+05,  3.633859827713757E+04,  3.356846392906213E+04, -1.022704967980644E-01, -8.488915275753022E-01, -4.507519046661667E-01,
2460312.041666667, A.D. 2024-Jan-02 13:00:00.0000, -4.017797981729829E+05,  3.328127333202829E+04,  3.194448188429620E+04, -9.340294250321363E-02, -8.496113135626387E-01, -4.514544876944317E-01,
2460312.083333333, A.D. 2024-Jan-02 14:00:00.0000, -4.021000710692410E+05,  3.022147619527789E+04,  3.031803381149740E+04, -8.452471088545718E-02, -8.502649531188843E-01, -4.521219092260821E-01,
2460312.125000000, A.D. 2024-Jan-02 15:00:00.0000, -4.023883639432069E+05,  2.715944514690507E+04,  2.868924641041596E+04, -7.563635583636988E-02, -8.508523616260609E-01, -4.527541036673450E-01,
2460312.166666667, A.D. 2024-Jan-02 16:00:00.0000, -4.026446413487907E+05,  2.409541876822893E+04,  2.705824661517969E+04, -6.673843208967950E-02, -8.513734563124546E-01, -4.533510064017682E-01,
2460312.208333333, A.D. 2024-Jan-02 17:00:00.0000, -4.028688698385112E+05,  2.102963593522825E+04,  2.542516159078066E+04, -5.783149525548770E-02, -8.518281562494954E-01, -4.539125537874172E-01,
2460312.250000000, A.D. 2024-Jan-02 18:00:00.0000, -4.030610179667127E+05,  1.796233581191038E+04,  2.379011872957126E+04, -4.891610185490785E-02, -8.522163823496667E-01, -4.544386831546082E-01,
2460312.291666667, A.D. 2024-Jan-02 19:00:00.0000, -4.032210562929082E+05,  1.489375784368549E+04,  2.215324564776738E+04, -3.999280935510234E-02, -8.525380573654597E-01, -4.549293328041872E-01,
2460312.333333333, A.D. 2024-Jan-02 20:00:00.0000, -4.033489573852480E+05,  1.182414175074296E+04,  2.051467018195674E+04, -3.106217620469613E-02, -8.527931058893822E-01, -4.553844420063597E-01,
2460312.375000000, A.D. 2024-Jan-02 21:00:00.0000, -4.034446958241182E+05,  8.753727521425602E+03,  1.887452038561048E+04, -2.212476186954868E-02, -8.529814543550290E-01, -4.558039510000775E-01,
2460312.416666667, A.D. 2024-Jan-02 22:00:00.0000, -4.035082482058665E+05,  5.682755405598343E+03,  1.723292452559591E+04, -1.318112686886141E-02, -8.531030310392318E-01, -4.561878009929907E-01,
2460312.458333333, A.D. 2024-Jan-02 23:00:00.0000, -4.035395931466610E+05,  2.611465908006953E+03,  1.559001107868848E+04, -4.231832811600950E-03, -8.531577660652941E-01, -4.565359341619696E-01,
2460312.500000000, A.D. 2024-Jan-03 00:00:00.0000, -4.035387112864783E+05, -4.599002183766574E+02,  1.394590872808071E+04,  4.722557566784261E-03, -8.531455914073240E-01, -4.568482936542048E-01,
2460312.541666667, A.D. 2024-Jan-03 01:00:00.0000, -4.035055852932261E+05, -3.531101979027719E+03,  1.230074635988580E+04,  1.368148036705823E-02, -8.530664408960381E-01, -4.571248235890752E-01,
2460312.583333333, A.D. 2024-Jan-03 02:00:00.0000, -4.034401998669991E+05, -6.601898144560115E+03,  1.065465305963566E+04,  2.264437048967972E-02, -8.529202502237537E-01, -4.573654690596047E-01,
2460312.625000000, A.D. 2024-Jan-03 03:00:00.0000, -4.033425417444682E+05, -9.672047257446968E+03,  9.007758108768225E+03,  3.161066159665946E-02, -8.527069569543098E-01, -4.575701761365077E-01,
2460312.666666667, A.D. 2024-Jan-03 04:00:00.0000, -4.032125997034060E+05, -1.274130763877071E+04,  7.360190981103009E+03,  4.057978607411580E-02, -8.524265005307685E-01, -4.577388918710654E-01,
2460312.708333333, A.D. 2024-Jan-03 05:00:00.0000, -4.030503645673491E+05, -1.580943739500629E+04,  5.712081339303809E+03,  4.955117499440408E-02, -8.520788222854120E-01, -4.578715642992192E-01,
